"names","center_x","center_y","cluster_no","cell_type"
"2997859600418100133-mPFC_NF3_r1-mPFC","11945.168954353","1054.47847462811","4","N_Arhgap25"
"2997859600418100139-mPFC_NF3_r1-mPFC","11886.2085790926","1058.52978548524","14","N_Sept4/Crym"
"2997859600418100161-mPFC_NF3_r1-mPFC","11940.2069211324","1068.51710084181","4","N_Arhgap25"
"2997859600418100193-mPFC_NF3_r1-mPFC","11903.5546434724","1084.44907939097","14","N_Sept4/Crym"
"2997859600418100225-mPFC_NF3_r1-mPFC","11916.4043741513","1037.32721492367","8","N_Nptx1/Itm2a"
"2997859600418100228-mPFC_NF3_r1-mPFC","11956.0007322772","998.833097786398","1","N_Slc30a3"
"2997859600418100231-mPFC_NF3_r1-mPFC","11913.632588257","1007.17288232098","1","N_Slc30a3"
"2997859600418100234-mPFC_NF3_r1-mPFC","11942.2604805456","1025.55524753338","4","N_Arhgap25"
"2997859600418100238-mPFC_NF3_r1-mPFC","11873.7924015496","1043.01272129738","4","N_Arhgap25"
"2997859600418100241-mPFC_NF3_r1-mPFC","11929.0670364754","1063.80697763532","14","N_Sept4/Crym"
"2997859600418100242-mPFC_NF3_r1-mPFC","11965.6323271919","1064.75648828518","1","N_Slc30a3"
"2997859600418100244-mPFC_NF3_r1-mPFC","11939.019325488","1076.10607089831","4","N_Arhgap25"
"2997859600418100246-mPFC_NF3_r1-mPFC","11905.0393547877","1086.92851925922","14","N_Sept4/Crym"
"2997859600418100254-mPFC_NF3_r1-mPFC","11932.5657668365","1013.34707379144","14","N_Sept4/Crym"
"2997859600418100255-mPFC_NF3_r1-mPFC","11960.9125562376","1023.46652026077","8","N_Nptx1/Itm2a"
"2997859600418100257-mPFC_NF3_r1-mPFC","11861.6764116049","1033.04924114562","14","N_Sept4/Crym"
"2997859600418200006-mPFC_NF3_r1-mPFC","11948.7357955604","982.307554925833","4","N_Arhgap25"
"2997859600418200014-mPFC_NF3_r1-mPFC","11913.716486095","1007.67866415886","1","N_Slc30a3"
"2997859600418200033-mPFC_NF3_r1-mPFC","11964.4391125927","1063.14605931455","1","N_Slc30a3"
"2997859600418200036-mPFC_NF3_r1-mPFC","11928.0160652513","1066.43037395404","14","N_Sept4/Crym"
"2997859600418200040-mPFC_NF3_r1-mPFC","11872.1472963732","1088.5881066714","4","N_Arhgap25"
"2997859600418200042-mPFC_NF3_r1-mPFC","11968.5758923399","1088.25763858545","4","N_Arhgap25"
"2997859600418200050-mPFC_NF3_r1-mPFC","11863.395835636","982.763268611085","1","N_Slc30a3"
"2997859600418200076-mPFC_NF3_r1-mPFC","11861.8967237817","1078.46864094557","4","N_Arhgap25"
"2997859600418200078-mPFC_NF3_r1-mPFC","11948.6912203463","995.536615474074","1","N_Slc30a3"
"2997859600419100007-mPFC_NF3_r1-mPFC","11987.2069214593","981.373372841733","11","N_Lhx6"
"2997859600419100019-mPFC_NF3_r1-mPFC","12023.4096287979","990.288382438782","17","N_Vip"
"2997859600419100024-mPFC_NF3_r1-mPFC","11998.9468265944","994.277689680455","15","N_Nptx1/Car4"
"2997859600419100038-mPFC_NF3_r1-mPFC","12035.2627193798","1003.17237988586","8","N_Nptx1/Itm2a"
"2997859600419100043-mPFC_NF3_r1-mPFC","12028.5488079241","1058.70853082706","13","N_Sst"
"2997859600419100045-mPFC_NF3_r1-mPFC","12018.5254493641","1010.71161106884","4","N_Arhgap25"
"2997859600419100057-mPFC_NF3_r1-mPFC","12043.1899676071","1018.40590908728","4","N_Arhgap25"
"2997859600419100058-mPFC_NF3_r1-mPFC","11991.1053984449","1020.10593872798","4","N_Arhgap25"
"2997859600419100060-mPFC_NF3_r1-mPFC","12025.5724030012","1021.92275300341","4","N_Arhgap25"
"2997859600419100080-mPFC_NF3_r1-mPFC","12075.5386708227","1042.15480357929","11","N_Lhx6"
"2997859600419100116-mPFC_NF3_r1-mPFC","11987.1569100952","1064.44531495801","16","N_Dusp1"
